epoch,loss,cos_sim
0,0.0021538354922086,0.0
1,0.0008900613756850362,0.0
2,0.00019742785661946982,0.0
3,1.1163379895151593e-05,0.0
4,0.00014384364476427436,0.0
5,0.0003302991681266576,5.252870327834137e-21
6,235.0211181640625,0.8145545125007629
7,0.0007189297466538846,0.0
8,0.0007428214303217828,0.9276370406150818
9,0.0014272265834733844,0.0
10,0.0018703893292695284,0.0
11,0.0022640922106802464,0.0
12,0.002769591985270381,0.0
13,0.0031915344297885895,0.0
14,0.003658876521512866,0.974179208278656
15,0.0039864215068519115,0.0
16,0.004277113825082779,0.9677402377128601
17,0.004416280891746283,0.0
18,0.004932574462145567,0.0
19,0.005085567012429237,0.0
20,0.005381967406719923,1.8297032428690587e-26
21,0.005453735589981079,0.0
22,0.0056465729139745235,0.0
23,0.00605583842843771,0.0
24,0.005762401036918163,0.0
25,0.005950430408120155,0.0
26,0.00634389603510499,0.0
27,0.006155447568744421,0.0
28,0.005774013698101044,0.0
29,0.006336085498332977,0.0
30,0.006028668023645878,7.63800914325823e-25
31,0.006114042829722166,0.0
32,0.006319771986454725,0.0
33,0.005977999418973923,4.576073248382169e-23
34,0.006223912816494703,0.0
35,0.005869464948773384,0.0
36,0.005698152352124453,0.0
37,0.005886758677661419,2.3761927536725125e-08
38,0.005819377489387989,0.0
39,0.005411178804934025,0.0
40,0.005497419741004705,0.0
41,0.005422165151685476,0.0
42,0.005314360838383436,0.0
43,0.005222068168222904,4.736941058457978e-21
44,0.005337153561413288,0.0
45,7255.68994140625,0.9915127754211426
46,0.006425271276384592,0.0
47,0.00836610235273838,2.8333126716094756e-20
48,7163.09765625,0.9946180582046509
49,42724.20703125,0.9722746014595032
50,0.01854514889419079,0.0
51,0.022948559373617172,6.707616851615362e-16
52,0.02775203250348568,0.0
53,0.03391369804739952,1.3977728479871998e-12
54,0.03877414017915726,0.0
55,0.045046623796224594,0.0
56,0.049032699316740036,0.0
57,4289.21484375,0.9928551316261292
58,0.06361892074346542,1.2241489289258056e-12
59,0.070851169526577,0.0
60,0.08060718327760696,0.0
61,0.08595255762338638,0.0
62,0.09220718592405319,7.929631284619141e-16
63,0.10273345559835434,0.0
64,0.10602819174528122,0.0
65,0.11240332573652267,0.0
66,0.12536481022834778,0.0
67,0.12573018670082092,0.0
68,0.13250325620174408,0.9965993762016296
69,0.13424675166606903,0.0
